POINT;TYPE_CODE;PAS
12508538327494;CDC;PT30M
12575253229376;CDC;PT30M
14262952065372;CDC;PT30M
14318523794527;CDC;PT30M
14330535438003;CDC;PT30M
14610274928358;CDC;PT30M
14639797318689;CDC;PT30M
14810564387916;CDC;PT30M
14825036119627;CDC;PT30M
16101013004990;CDC;PT30M
16118234394804;CDC;PT30M
16157742395551;CDC;PT30M
16184080924597;CDC;PT30M
16191895690492;CDC;PT30M
16197539676981;CDC;PT30M
16331403722689;CDC;PT30M
16476410991392;CDC;PT30M
16493053529714;CDC;PT30M
16521852336438;CDC;PT30M
17141244564980;CDC;PT30M
17165846580992;CDC;PT30M
17370043414478;CDC;PT30M
17757452945870;CDC;PT30M
19106367366612;CDC;PT30M
19188422529201;CDC;PT30M
19310419617311;CDC;PT10M
19331837841789;CDC;PT10M
19354703291114;CDC;PT30M
19354703291114;CDC;PT30M
19391027399970;CDC;PT30M
19417221325800;CDC;PT30M
19487264775048;CDC;PT30M
19511432581828;CDC;PT30M
19534732203703;CDC;PT10M
19666859604247;CDC;PT10M
19728943481960;CDC;PT30M
19828509360464;CDC;PT30M
19905788695286;CDC;PT30M
19939073777346;CDC;PT30M
19942402226802;CDC;PT30M
19942402226802;CDC;PT30M
21172648244509;CDC;PT30M
21276845143624;CDC;PT30M
21297684470143;CDC;PT30M
21575253219698;CDC;PT30M
22122286397520;CDC;PT30M
22195369029341;CDC;PT30M
22314761121808;CDC;PT30M
22371345791178;CDC;PT30M
22522141744827;CDC;PT30M
23264399397207;CDC;PT30M
23306078100797;CDC;PT30M
23427785811203;CDC;PT30M
24269175067987;CDC;PT10M
24307380487610;CDC;PT30M
24371779972294;CDC;PT30M
24589146060361;CDC;PT30M
25218668583368;CDC;PT30M
25224167747735;CDC;PT30M
25225180845024;CDC;PT30M
25269753877651;CDC;PT30M
25270622136299;CDC;PT30M
25354847981269;CDC;PT30M
25387554193557;CDC;PT30M
25398407994193;CDC;PT30M
25411432642036;CDC;PT30M
25421852364443;CDC;PT30M
25430680140247;CDC;PT30M
25451953672405;CDC;PT30M
25479450047717;CDC;PT30M
25492908729379;CDC;PT30M
25499710550056;CDC;PT30M
25844138865410;CDC;PT10M
25875687341102;CDC;PT30M
25875687341102;CDC;PT10M
25911432643049;CDC;PT30M
25957887045805;CDC;PT30M
25960347292355;CDC;PT30M
15122431250435;CDC;PT10M
01166280746859;CDC;PT30M
01180318212504;CDC;PT30M
01324602017681;CDC;PT30M
01329522366607;CDC;PT30M
01389580287277;CDC;PT30M
01419536833180;CDC;PT30M
01460926173697;CDC;PT30M
01460926173697;CDC;PT30M
01533574485852;CDC;PT30M
01533574485852;CDC;PT30M
01656729298726;CDC;PT30M
01681765499398;CDC;PT30M
01684370427262;CDC;PT30M
02117655523141;CDC;PT30M
02325180857053;CDC;PT30M
02489001443209;CDC;PT30M
04308682992807;CDC;PT30M
04334153389820;CDC;PT30M
04391751058386;CDC;PT30M
05128798799831;CDC;PT30M
06473661295207;CDC;PT10M
07380607779029;CDC;PT30M
09122431231093;CDC;PT30M
09130101261493;CDC;PT30M
09191172137089;CDC;PT30M
09309117160829;CDC;PT30M
09569898655701;CDC;PT30M
09580318313623;CDC;PT30M
09751519480137;CDC;PT30M
14268162060753;CDC;PT30M
14284225685420;CDC;PT10M
14372793013019;CDC;PT30M
14578871135538;CDC;PT30M
14578871135538;CDC;PT30M
15203183767370;CDC;PT30M
15404630957148;CDC;PT30M
15417221412446;CDC;PT30M
15459478981530;CDC;PT30M
15505065065401;CDC;PT30M
16111866823815;CDC;PT30M
16219102692009;CDC;PT30M
16219102692009;CDC;PT30M
16573661311415;CDC;PT30M
16573661311415;CDC;PT30M
16599131611888;CDC;PT30M
17230824876306;CDC;PT30M
17272214164072;CDC;PT30M
19309985512520;CDC;PT30M
19321707592803;CDC;PT10M
19322286469630;CDC;PT10M
19324312585435;CDC;PT30M
19349059330802;CDC;PT30M
19349638104920;CDC;PT30M
19372503589632;CDC;PT30M
19465122923005;CDC;PT30M
19536468820063;CDC;PT10M
19579305280801;CDC;PT30M
19594790113143;CDC;PT30M
19626049182898;CDC;PT10M
19627496360837;CDC;PT10M
19653690239619;CDC;PT30M
19846309590166;CDC;PT30M
19917221366960;CDC;PT30M
19952966674471;CDC;PT30M
21248335745206;CDC;PT30M
21351374724797;CDC;PT30M
21409840682409;CDC;PT30M
21444283613887;CDC;PT30M
21521707541629;CDC;PT30M
21544862503121;CDC;PT30M
21551374790160;CDC;PT30M
21578147602594;CDC;PT10M
22105788543106;CDC;PT30M
22124167843260;CDC;PT30M
22169609092001;CDC;PT30M
22209261889451;CDC;PT30M
22290882681664;CDC;PT30M
22413748159848;CDC;PT30M
23193053413199;CDC;PT30M
23354847971367;CDC;PT30M
23512590444095;CDC;PT30M
23590014438644;CDC;PT30M
24148480442919;CDC;PT30M
24204775620663;CDC;PT10M
24209551345560;CDC;PT30M
24229956535570;CDC;PT10M
24242981137590;CDC;PT10M
24372069360686;CDC;PT30M
24568740928130;CDC;PT30M
24572358852101;CDC;PT30M
25158900077716;CDC;PT30M
25205354537896;CDC;PT30M
25230390637006;CDC;PT30M
25340086738506;CDC;PT30M
25454703252631;CDC;PT30M
25470911695290;CDC;PT30M
25484804605813;CDC;PT30M
25490593245397;CDC;PT30M
25817221350562;CDC;PT30M
25887264829921;CDC;PT30M
17150361746677;CDC;PT30M
01190448600111;CDC;PT10M
01381186661391;CDC;PT30M
01507670021699;CDC;PT30M
01689146155306;CDC;PT30M
02167438445216;CDC;PT30M
02373516578443;CDC;PT30M
02403038990999;CDC;PT30M
02463675794715;CDC;PT30M
05163965180627;CDC;PT30M
05217510824850;CDC;PT30M
05401736558607;CDC;PT30M
05602894333670;CDC;PT30M
07321997048647;CDC;PT30M
09105209817677;CDC;PT30M
09109551342756;CDC;PT30M
09724891397569;CDC;PT30M
09729232957526;CDC;PT30M
12144862499268;CDC;PT10M
12222865403109;CDC;PT30M
12227062169577;CDC;PT30M
12247901572488;CDC;PT10M
12421273507290;CDC;PT30M
12421273507290;CDC;PT30M
14203473047418;CDC;PT30M
14239073788586;CDC;PT30M
14298118643109;CDC;PT30M
14316642534229;CDC;PT30M
14348625138177;CDC;PT30M
14417221280589;CDC;PT30M
14429377694936;CDC;PT10M
14547901546601;CDC;PT30M
14609117192102;CDC;PT30M
14780752492616;CDC;PT30M
14844717675329;CDC;PT30M
14893342903138;CDC;PT30M
15124601995936;CDC;PT30M
15238060671660;CDC;PT30M
15575253255030;CDC;PT30M
16143704655696;CDC;PT30M
16145151765143;CDC;PT30M
16172069265839;CDC;PT30M
16197973770398;CDC;PT30M
16296526721189;CDC;PT30M
16400723560362;CDC;PT30M
17114037573323;CDC;PT30M
17172793020543;CDC;PT30M
17278147597179;CDC;PT30M
17318958010235;CDC;PT30M
17331259030034;CDC;PT30M
17530680127299;CDC;PT30M
17639942086214;CDC;PT30M
17700289408332;CDC;PT30M
19108683017682;CDC;PT30M
19129088074514;CDC;PT30M
19356150409548;CDC;PT30M
19427641006394;CDC;PT30M
19564254690710;CDC;PT30M
19598697418002;CDC;PT30M
19736468806430;CDC;PT30M
19772792952902;CDC;PT30M
19781186671181;CDC;PT30M
19872214125927;CDC;PT30M
21146164901334;CDC;PT10M
21203473066095;CDC;PT30M
21258610680365;CDC;PT30M
21531403696906;CDC;PT30M
21589146143598;CDC;PT30M
22149348677941;CDC;PT30M
22158465983280;CDC;PT30M
22178292300669;CDC;PT10M
22221418229640;CDC;PT30M
22246309684423;CDC;PT30M
22250795941317;CDC;PT30M
22598697407198;CDC;PT30M
23126628020720;CDC;PT30M
24104486241645;CDC;PT30M
24110853781908;CDC;PT30M
24253979714802;CDC;PT30M
24532850833123;CDC;PT30M
24570477552727;CDC;PT10M
25207814675847;CDC;PT30M
25221562919267;CDC;PT30M
25230390728670;CDC;PT30M
25318234260502;CDC;PT30M
25332416739816;CDC;PT30M
25362662711990;CDC;PT30M
